Activity,Road,Road Code,Comments,Complete,Completed_Date_Time,Contract,Council,Created_Date,Direction,Distance_Past,Job_ID,Job_Type,Latitude,Longitude,Reference_Point
PAVEMENT CLEANING,GLENELG HWY,2670,John Webber on 29/04/2014 - Remove tree branches,Yes,29/04/2014 13:58,CN8124 WR,GOLDEN PLAINS,29/04/2014 12:24,Forward,554,29990,Hazard,-37.6860186,143.5439574,144 (KM)
PAVEMENT CLEANING,BALLARAT-BURRUMBEET RD,5087,"VicRoads on 05/05/2014 - Sent to AV
Terina Matthews on 05/05/2014 - Hi All, Mud cleaned from the road at 1pm 5/5/14. Could be an ongoing problem from trucks leaving the construction site.",Yes,5/05/2014 14:23,CN8124 WR,BALLARAT,5/05/2014 10:03,Forward,29,33085,Hazard,-37.5500891,143.8056175,SERVICE ROAD ENTRY (OT) AFTER RAILWAY CROSSING (OT)
PAVEMENT CLEANING,NORTHERN GRAMPIANS RD,4002,Terina Matthews on 12/05/2014 - SES on site as tree had bought down a powerline and had a widowmaker. Widow maker and tree removed and location made safe. Skyrider to followup with chipper. This AV Job No. is the same as AV Job 36463,Yes,12/05/2014 8:22,CN8124 WR,NORTHERN GRAMPIANS,9/05/2014 15:20,Forward,115,36446,Hazard,-37.1357825,142.5190002,ROAD START (SE)
PAVEMENT CLEANING,GRAMPIANS RD,4851,"VicRoads on 09/05/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
Terina Matthews on 09/05/2014 - Attended by SES as tree had taken out power lines with a branch hangup. Tree removed from the road and made safe at 6.30pm. SSE traffic Control, Skyrider removed hangup and assisted with removal of tree. Skyrider to followup cleanup",Yes,9/05/2014 18:35,CN8124 WR,NORTHERN GRAMPIANS,9/05/2014 16:00,Forward,44,36463,Hazard,-37.1368372,142.5194737,ACCESS TO NORTHERN GRAMPIANS RD (OT)
PAVEMENT CLEANING,WESTERN HWY - Sec 4,2520,"VicRoads on 21/05/2014 - URGENT ETS CALLED THROUGH TO REGION FOR ACTION.
Terina Matthews on 21/05/2014 - Technically Shire area but 7 bags of soaker used and slippery surface sign erected. SHIRE to  sweep up 22/5/14.",Yes,21/05/2014 12:24,CN8124 WR,NORTHERN GRAMPIANS,21/05/2014 8:56,Forward,252,40090,Hazard,-37.1533042,142.8566715,BRUNEL ST (SR)
PAVEMENT CLEANING,GRAMPIANS RD,4851,"VicRoads on 06/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
Terina Matthews on 06/06/2014 - Tree removed and road made safe at 3pm 6/6/14",Yes,6/06/2014 16:33,CN8124 WR,NORTHERN GRAMPIANS,6/06/2014 9:52,Forward,544,49963,Hazard,-37.1633227,142.5331022,PINNACLE RD (SR)
PAVEMENT CLEANING,GRAMPIANS RD,4851,"VicRoads on 06/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
Terina Matthews on 06/06/2014 - Tree removed and road made safe at 3.30pm today
Terina Matthews on 06/06/2014 - Tree removed and road made safe",Yes,6/06/2014 16:36,CN8124 WR,ARARAT,6/06/2014 12:20,Forward,960,51154,Hazard,-37.3732145,142.5066227,52 (KM)
PAVEMENT CLEANING,STAWELL-AVOCA RD,5245,"Terina Matthews on 23/06/2014 - Tree removed from the road and road made safe @ 12.30pm 23/6/14
Also attended to 2 other trees across the road enroute to ETS location
John Webber on 23/06/2014 - Cut and remove tree branches from side of road",Yes,23/06/2014 14:21,CN8124 WR,PYRENEES,23/06/2014 11:18,Forward,964,58542,Hazard,-36.9995679,143.2462983,54 (KM)
PAVEMENT CLEANING,CRESWICK-NEWSTEAD RD,5154,"Terina Matthews on 25/06/2014 - ETS Asset Vision and Email system down .. SSE has no record of receiving this ETS, however Network Supervisor passed through here at approx. 2pm same day and saw no tree blocking the entire road.",Yes,25/06/2014 12:32,CN8124 WR,HEPBURN,25/06/2014 11:00,Forward,828,60512,Hazard,-37.3991506,143.8934387,GEDDES RD (SR)
PAVEMENT CLEANING,GRAMPIANS RD,4851,"VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
VicRoads on 25/06/2014 - Passed to SSE
Terina Matthews on 25/06/2014 - rec 2nd call from Craig S to advise that Police had requested Road closure due to no. of trees and amount of debris on the road. Road cleared to Horsham City boundary line by Skyrider.",Yes,25/06/2014 12:14,CN8124 WR,NORTHERN GRAMPIANS,25/06/2014 11:03,Forward,133,60531,Hazard,-37.1296471,142.5291265,23 (KM)
PAVEMENT CLEANING,GRAMPIANS RD,4851,"VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
VicRoads on 25/06/2014 - Passed to SSE should have been Northern Grampians Rd not Grampians Rd
Terina Matthews on 25/06/2014 - Tree removed and road safe, 4 other trees in area also removed - completed by Skyrider",Yes,25/06/2014 12:17,CN8124 WR,ARARAT,25/06/2014 11:05,Forward,665,60543,Hazard,-37.3709832,142.5084364,52 (KM)
PAVEMENT CLEANING,BALLAN-DAYLESFORD RD,5189,"VicRoads on 25/06/2014 - Passed to SSE
VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
Terina Matthews on 25/06/2014 - 5 trees removed from road in this area @ 1.20pm",Yes,25/06/2014 12:21,CN8124 WR,HEPBURN,25/06/2014 11:06,Forward,49,60545,Hazard,-37.4057301,144.1236403,TOBIN TRK (SR)
PAVEMENT CLEANING,ARARAT-HALLS GAP RD,5136,Terina Matthews on 25/06/2014 - Tree removed from road @ 11am 24/6,Yes,25/06/2014 12:09,CN8124 WR,ARARAT,25/06/2014 11:06,Forward,174,60548,Hazard,-37.2840019,142.7545948,19 (KM)
PAVEMENT CLEANING,DAYLESFORD-MALMSBURY RD,5197,"VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
Terina Matthews on 25/06/2014 - Branch removed @2pm",Yes,25/06/2014 12:18,CN8124 WR,HEPBURN,25/06/2014 11:07,Forward,656,60554,Hazard,-37.278966,144.2939714,SPRING HILL RD (SR)
PAVEMENT CLEANING,PYRENEES HWY,2740,"VicRoads on 25/06/2014 - Terina from SSE has called to advise Tree has been cleared - clear of the scene.
VicRoads on 25/06/2014 - called out to craig swanson -",Yes,25/06/2014 12:08,CN8124 WR,CENTRAL GOLDFIELDS,25/06/2014 11:10,Forward,13,60575,Hazard,-37.0488294,143.7899133,CHAPLINS RD (SR)
PAVEMENT CLEANING,ROSSBRIDGE-STREATHAM RD,5098,"VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
Terina Matthews on 25/06/2014 - 3 trees removed from the road in this location @ 5.30pm",Yes,25/06/2014 12:23,CN8124 WR,ARARAT,25/06/2014 11:18,Forward,2016,60629,Hazard,-37.4991992,142.8687181,ROAD START (SE)
PAVEMENT CLEANING,SILVERBAND RD,4911,"VicRoads on 25/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 5
VicRoads on 25/06/2014 - Emailed contractor with ETS details
Terina Matthews on 25/06/2014 - Length of Silverband Rd patrolled and hazardous branches and trees
removed from Road @2pm- 3.30pm 25/6",Yes,25/06/2014 18:07,CN8124 WR,NORTHERN GRAMPIANS,25/06/2014 11:20,Forward,520,60650,Hazard,-37.1921622,142.5162958,5 (KM)
PAVEMENT CLEANING,BALLARAT-MARYBOROUGH RD,5327,"VicRoads on 25/06/2014 - Sent email and advised contractor
Andrew Ingram on 25/06/2014 - Tree limb on shoulder removed hazard made safe",Yes,25/06/2014 14:36,CN8124 WR,CENTRAL GOLDFIELDS,25/06/2014 11:30,Forward,140,60696,Hazard,-37.0753861,143.7266505,SETTLING PONDS TRACK (OT)
PAVEMENT CLEANING,KYNETON-TRENTHAM RD,5194,"VicRoads on 26/06/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 4
Terina Matthews on 26/06/2014 - Hi All
Kyneton Trentham Road Patrolled from 11km -21km and nil 
rock debris found. Please check location.",Yes,26/06/2014 10:17,CN8124 WR,HEPBURN,26/06/2014 9:07,Forward,797,61273,Hazard,-37.3367472,144.3880657,EAST TRENTHAM-FERNHILL RD (SR)
PAVEMENT CLEANING,STAWELL-AVOCA RD,5245,"Terina Matthews on 26/06/2014 - Stawell Avoca RD checked to Lansborough/Monnabel Rd checked and no tree across the road found. Evidence of tree on side of road when heading to Navarre
Checked at 1.50pm Bill T & Denis Mullane.",Yes,26/06/2014 13:49,CN8124 WR,PYRENEES,26/06/2014 12:03,Forward,253,61700,Hazard,-36.9505965,143.1647556,45 (KM)
PAVEMENT CLEANING,BALLARAT-BURRUMBEET RD,5087,"Matthew Shaw on 27/06/2014 - Was visited, but nothing was found. Must of been cleaned up.",Yes,27/06/2014 11:21,CN8124 WR,BALLARAT,26/06/2014 12:48,Forward,25,61787,Hazard,-37.5463645,143.7969056,RING RD (SR)
PAVEMENT CLEANING,WESTERN HWY - Sec 3,2520,"Matthew Shaw on 03/07/2014 - Tree branch had been removed from the road when patrol arrived, the guys cleaned up the remainder of smaller branches and debris off the shoulder. Made safe.",Yes,3/07/2014 12:06,CN8124 WR,PYRENEES,3/07/2014 10:39,Forward,546,66514,Hazard,-37.4191536,143.3386742,GRAMPIANS VIEW RD (SR)
PAVEMENT CLEANING,WESTERN HWY - Sec 4,2520,"VicRoads on 14/07/2014 - passed to 4 site mark.
VicRoads on 14/07/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 14/07/2014 - Incorrectly sent to AV",Yes,14/07/2014 11:42,CN8124 WR,NORTHERN GRAMPIANS,14/07/2014 11:41,Forward,153,72510,Hazard,-37.11055,142.807111,223 (KM)
PAVEMENT CLEANING,GEELONG-BALLAN RD,5062,Andrew Ingram on 21/07/2014 - Inspected area all safe from hazards,Yes,21/07/2014 15:05,CN8124 WR,MOORABOOL,18/07/2014 15:30,Forward,417,77283,Hazard,-37.6374204,144.2191258,56 (KM)
PAVEMENT CLEANING,GEELONG-BALLAN RD,5062,Andrew Ingram on 22/07/2014 - Tree limb removed from shoulder and completed,Yes,22/07/2014 13:44,CN8124 WR,MOORABOOL,22/07/2014 12:14,Forward,506,78799,Hazard,-37.6285692,144.2139321,57 (KM)
PAVEMENT CLEANING,DONALD-STAWELL RD,5155,"VicRoads on 29/07/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
Mark Templar on 29/07/2014 - Cut.up.and.removed.large.tree.branch",Yes,29/07/2014 15:51,CN8124 WR,NORTHERN GRAMPIANS,29/07/2014 14:54,Forward,233,85052,Hazard,-36.9783299,142.7857223,78 (KM)
PAVEMENT CLEANING,SKIPTON RD,5090,John Webber on 31/07/2014 - Cut and remove tree branches from side of road,Yes,31/07/2014 13:06,CN8124 WR,PYRENEES,31/07/2014 11:01,Forward,222,86577,Hazard,-37.4671206,143.3824031,4 (KM)
PAVEMENT CLEANING,GLENELG HWY,2670,John Webber on 31/07/2014 - Been removed be the shire,Yes,31/07/2014 13:29,CN8124 WR,CORANGAMITE,31/07/2014 12:18,Forward,27,86755,Hazard,-37.6863673,143.3698775,ROKEWOOD-SKIPTON RD (CR)
PAVEMENT CLEANING,WESTERN HWY - Sec 3,2520,"VicRoads on 31/07/2014 - FallenTree over wirerope  1 mt from edge line
Terina Matthews on 31/07/2014 - Location is Lend Lease area - referred back to Brian to go through the correct channels.
John Webber on 31/07/2014 - Cut tree branches from wire cables off side of the road",Yes,31/07/2014 16:30,CN8124 WR,PYRENEES,31/07/2014 15:09,Reverse,143,87065,Hazard,-37.411566,143.3223002,163 (KM)
PAVEMENT CLEANING,GLENELG HWY,2670,Terina Matthews on 31/07/2014 - Same as AV Job 86755 completed at 1.29pm 31/7/14 John Webber - Many Thanks Terina,Yes,31/07/2014 15:33,CN8124 WR,CORANGAMITE,31/07/2014 15:14,Forward,4,87067,Hazard,-37.6864028,143.3701274,ROKEWOOD-SKIPTON RD (CR)
PAVEMENT CLEANING,WESTERN HWY - Sec 3,2520,"Matthew Annear on 28/08/2014 - Removed from pavement 
Matthew Shaw on 30/08/2014 - Dead animal was looked for on the day but not located to be on the road.",Yes,30/08/2014 10:18,CN8124 WR,ARARAT,28/08/2014 12:07,Forward,398,106443,Hazard,-37.3155575,143.0365422,190 (KM)
PAVEMENT CLEANING,BALLARAT-MARYBOROUGH RD,5327,Matthew Annear on 06/09/2014 - Intersection swept,Yes,6/09/2014 10:09,CN8124 WR,BALLARAT,5/09/2014 10:52,Forward,21,110864,Hazard,-37.5248116,143.8095347,RING RD (SR)
PAVEMENT CLEANING,SUNRAYSIA HWY,2700,"VicRoads on 08/09/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
Mark Templar on 08/09/2014 - Already.been.cut.up.and.removed",Yes,8/09/2014 13:43,CN8124 WR,NORTHERN GRAMPIANS,8/09/2014 11:43,Forward,12,111497,Hazard,-36.574043,143.1819667,SUTHERLAND-GOOROC RD (SR)
PAVEMENT CLEANING,DELACOMBE-WENDOUREE RD,5497,"VicRoads on 08/09/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 3
Matthew Shaw on 08/09/2014 - Have assessed and deemed not an immediate hazard. Will temp repair tomorrow and program future work for it to be fixed permanently.
Grant Young on 09/09/2014 - Wasn't hazardous. Removed small raise and completed",Yes,9/09/2014 7:15,CN8124 WR,BALLARAT,8/09/2014 14:11,Forward,262,111696,Hazard,-37.5537489,143.8194521,BALLARAT-BURRUMBEET RD (CR)
PAVEMENT CLEANING,SILVERBAND RD,4911,John Webber on 12/09/2014 - Tree brach removed from the road,Yes,12/09/2014 13:10,CN8124 WR,NORTHERN GRAMPIANS,12/09/2014 10:53,Forward,341,114852,Hazard,-37.1955458,142.5230186,6 (KM)
PAVEMENT CLEANING,DAYLESFORD-TRENTHAM RD,5195,,Yes,22/09/2014 14:36,CN8124 WR,HEPBURN,22/09/2014 14:34,Reverse,1032,119946,Hazard,-37.3944267,144.239868,12 (KM)
PAVEMENT CLEANING,DAYLESFORD-TRENTHAM RD,5195,Matthew Annear on 22/09/2014 - Removed dead wombat from pavement,Yes,22/09/2014 14:36,CN8124 WR,HEPBURN,22/09/2014 14:34,Reverse,1032,120005,Hazard,-37.3944267,144.239868,12 (KM)
PAVEMENT CLEANING,KYNETON-TRENTHAM RD,5194,Grant Young on 29/09/2014 - Drove up and down could not see tree down,Yes,29/09/2014 11:11,CN8124 WR,HEPBURN,29/09/2014 9:27,Forward,145,123306,Hazard,-37.3879555,144.3376126,20 (KM)
PAVEMENT CLEANING,ARARAT-HALLS GAP RD,5136,"VicRoads on 03/10/2014 - Phoned Terina to advise of details also
Terina Matthews on 03/10/2014 - On arrival Patrolmen found sand had already been applied to the 150m distance.",Yes,3/10/2014 17:18,CN8124 WR,ARARAT,3/10/2014 15:34,Forward,949,127149,Hazard,-37.2911218,142.8962724,4 (KM)
PAVEMENT CLEANING,GLENELG HWY,2670,Matthew Annear on 06/10/2014 - Removed Tyre tread from running lane,Yes,6/10/2014 12:19,CN8124 WR,PYRENEES,6/10/2014 12:18,Forward,620,127653,Hazard,-37.6981305,143.1663604,179 (KM)
PAVEMENT CLEANING,MORTLAKE-ARARAT RD,5100,Matthew Annear on 06/10/2014 - Removed dead roo from shoulder,Yes,6/10/2014 13:53,CN8124 WR,ARARAT,6/10/2014 13:50,Reverse,240,127844,Hazard,-37.3934144,142.8699435,SANDY CREEK (SN4161) A1 (BR)
PAVEMENT CLEANING,DAYLESFORD-TRENTHAM RD,5195,Matthew Annear on 07/10/2014 - Removed dead wombat from running lane,Yes,7/10/2014 14:43,CN8124 WR,HEPBURN,7/10/2014 14:42,Reverse,133,128882,Hazard,-37.3728503,144.3163959,FALLS RD (SR)
PAVEMENT CLEANING,BALLAN-DAYLESFORD RD,5189,Grant Young on 20/10/2014 - Tree moved off drive way and residents request to leave the timber completed,Yes,20/10/2014 11:35,CN8124 WR,HEPBURN,20/10/2014 9:38,Forward,188,135513,Hazard,-37.4092685,144.1218253,23 (KM)
PAVEMENT CLEANING,PYRENEES HWY,2740,"Terina Matthews on 31/10/2014 - This area of road has just been resealed and needs to be referred back to this team. 1 loose stone sign up only.
Will email info to Michelle D THKS Terina",Yes,31/10/2014 13:16,CN8124 WR,ARARAT,31/10/2014 10:30,Forward,401,142529,Hazard,-37.2484818,142.978607,THREE MILE CREEK (SN2340) A2 (BR)
PAVEMENT CLEANING,DRUMMOND ST,5185,Grant Young on 03/11/2014 - Stone on shoulder not a hazard but stone on roundabout is so sweped and made safe,Yes,3/11/2014 14:06,CN8124 WR,BALLARAT,3/11/2014 12:03,Forward,24,143295,Hazard,-37.5669809,143.846308,URQUHART ST (SR)
PAVEMENT CLEANING,ARARAT-ST ARNAUD RD,5247,Mark Templar on 06/11/2014 - Cut.and.removed.large.tree.branch.overhanging.on.fog.line,Yes,6/11/2014 8:38,CN8124 WR,PYRENEES,5/11/2014 9:12,Forward,503,143876,Hazard,-37.1392798,143.1073954,7 (KM)
PAVEMENT CLEANING,GEELONG-BALLAN RD,5062,"VicRoads on 06/11/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 
Matthew Shaw on 06/11/2014 - Drove entire length of road, no Kangaroo located.",Yes,6/11/2014 15:25,CN8124 WR,MOORABOOL,6/11/2014 9:17,Forward,734,144877,Hazard,-37.7303919,144.2186375,45 (KM)
PAVEMENT CLEANING,DELACOMBE-WENDOUREE RD,5497,Matthew Annear on 24/11/2014 - No issue found at this location,Yes,24/11/2014 18:58,CN8124 WR,BALLARAT,24/11/2014 13:34,Forward,277,154164,Hazard,-37.5802189,143.8083602,SHASTA DR (SR)
PAVEMENT CLEANING,GLENELG HWY,2670,Matthew Shaw on 27/11/2014 - Approx 25m of dirt and silt buildup cleaned from carriageway. High verge needs removing to allow water to run off. This would stop water sitting down bottom of dip and backing up verge causing silt to settle.,Yes,27/11/2014 16:52,CN8124 WR,CORANGAMITE,27/11/2014 11:45,Reverse,135,156267,Hazard,-37.6802676,143.4380194,155 (KM)
PAVEMENT CLEANING,KYNETON-TRENTHAM RD,5194,"VicRoads on 11/12/2014 - D24 - advise now collision onsite.
VicRoads on 11/12/2014 - Passed on Tree and colision details to Terina @ SSE
Grant Young on 11/12/2014 - Road cleaned of bark and glass and made safe",Yes,11/12/2014 12:01,CN8124 WR,HEPBURN,11/12/2014 9:58,Forward,101,163968,Hazard,-37.3758093,144.3492099,NEWTONS LA (SR)
PAVEMENT CLEANING,SKIPTON RD,5090,"VicRoads on 16/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 5
John Webber on 16/12/2014 - Done on the 16 / 12 / 2014",Yes,16/12/2014 17:18,CN8124 WR,PYRENEES,16/12/2014 15:52,Forward,138,166847,Hazard,-37.4482868,143.3799936,2 (KM)
PAVEMENT CLEANING,CHARLTON-ST ARNAUD RD,5242,"VicRoads on 16/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 5
John Webber on 16/12/2014 - Cut and remove tree branches from side of road",Yes,16/12/2014 20:01,CN8124 WR,NORTHERN GRAMPIANS,16/12/2014 16:50,Forward,289,166854,Hazard,-36.5810345,143.2796912,YAWONG RD (SR)
PAVEMENT CLEANING,GLENELG HWY,2670,"VicRoads on 18/12/2014 - Police advise it is a truck rollover, and signage is required
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - police 0407 197350 request eta update passed to michelle
VicRoads on 18/12/2014 - Police still waiting on a call with a ETA , no body for VR has shown up yet, please call Police on mobile with a ETA
VicRoads on 18/12/2014 - Police ph  0407 197350 please call witha ETA for VR
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
VicRoads on 18/12/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 
John Webber on 18/12/2014 - Spread road with sawdust put up sign road made safe",Yes,18/12/2014 17:43,CN8124 WR,ARARAT,18/12/2014 15:48,Forward,600,168097,Hazard,-37.681392,143.0693692,EURAMBEEN-STREATHAM RD (SR)
PAVEMENT CLEANING,DAYLESFORD-TRENTHAM RD,5195,Matthew Annear on 31/12/2014 - Removed dead wombat from road,Yes,31/12/2014 12:19,CN8124 WR,HEPBURN,31/12/2014 12:14,Reverse,100,172671,Hazard,-37.3955677,144.2489961,12 (KM)
PAVEMENT CLEANING,MORTLAKE-ARARAT RD,5100,Matthew Annear on 05/01/2015 - Removed tree from road,Yes,5/01/2015 9:46,CN8124 WR,ARARAT,5/01/2015 9:44,Forward,116,173437,Hazard,-37.6918839,142.8443527,45 (KM)
PAVEMENT CLEANING,MORTLAKE-ARARAT RD,5100,Matthew Annear on 05/01/2015 - Removed branches from road,Yes,5/01/2015 10:02,CN8124 WR,ARARAT,5/01/2015 9:58,Forward,538,173470,Hazard,-37.5369846,142.8379652,62 (KM)
PAVEMENT CLEANING,ARARAT-ST ARNAUD RD,5247,Matthew Annear on 05/01/2015 - Removed branch from road,Yes,5/01/2015 11:47,CN8124 WR,NORTHERN GRAMPIANS,5/01/2015 11:45,Forward,1488,173764,Hazard,-36.792416,143.1200412,AVON RIVER (SN4594) A2 (BR)
PAVEMENT CLEANING,SUNRAYSIA HWY,2700,Matthew Annear on 05/01/2015 - Removed branch from shoulder,Yes,5/01/2015 12:42,CN8124 WR,NORTHERN GRAMPIANS,5/01/2015 12:41,Reverse,10,173770,Hazard,-36.5939517,143.2192896,MCQUEEN RD (SR) AFTER MEADE RD (SR)
